RemainingCapacityAlarm,RemainingTimeAlarm,BatteryMode,AtRate,AtRateTimeToFull,AtRateTimeToEmpty,AtRateOK,Temperature,Voltage,Current,AverageCurrent,MaxError,RelativeStateOfCharge,AbsoluteStateOfCharge,RemainingCapacity,FullChargeCapacity,RunTimeToEmpty,AverageTimeToEmpty,AverageTimeToFull,ChargingCurrent,ChargingVoltage,BatteryStatus,CycleCount,DesignCapacity,DesignVoltage,SpecificationInfo,ManufactureDate,SerialNumber,ManufacturerName,DeviceName,DeviceChemistry,VoltageCellFour,VoltageCellThree,VoltageCellTwo,VoltageCellOne,timestamp
285,10,24576,0,65535,65535,true,29.25,11799,1113,1121,2,39,27,761,1995,65535,65535,138,1995,12600,128,224,2850,10950,49,"9/25/2017",38774,"133-42-6E-A","JC03031","LION",0,3990,3913,3897,"11:54:01 PM"
285,10,24576,0,65535,65535,true,29.25,11797,1113,1121,2,39,27,761,1995,65535,65535,138,1995,12600,128,224,2850,10950,49,"9/25/2017",38774,"133-42-6E-A","JC03031","LION",0,3989,3912,3896,"11:54:02 PM"
285,10,24576,0,65535,65535,true,29.25,11798,1112,1120,2,39,27,762,1995,65535,65535,138,1995,12600,128,224,2850,10950,49,"9/25/2017",38774,"133-42-6E-A","JC03031","LION",0,3989,3913,3896,"11:54:04 PM"
285,10,24576,0,65535,65535,true,29.25,11798,1111,1119,2,39,27,762,1995,65535,65535,138,1995,12600,128,224,2850,10950,49,"9/25/2017",38774,"133-42-6E-A","JC03031","LION",0,3989,3912,3897,"11:54:06 PM"
285,10,24576,0,65535,65535,true,29.25,11799,1111,1118,2,39,27,763,1995,65535,65535,138,1995,12600,128,224,2850,10950,49,"9/25/2017",38774,"133-42-6E-A","JC03031","LION",0,3990,3913,3896,"11:54:08 PM"
285,10,24576,0,65535,65535,true,29.15,11799,1109,1117,2,39,27,763,1995,65535,65535,138,1995,12600,128,224,2850,10950,49,"9/25/2017",38774,"133-42-6E-A","JC03031","LION",0,3990,3912,3896,"11:54:10 PM"
285,10,24576,0,65535,65535,true,29.15,11799,1108,1116,2,39,27,764,1995,65535,65535,138,1995,12600,128,224,2850,10950,49,"9/25/2017",38774,"133-42-6E-A","JC03031","LION",0,3990,3913,3896,"11:54:12 PM"
285,10,24576,0,65535,65535,true,29.25,11798,1107,1115,2,39,27,765,1995,65535,65535,138,1995,12600,128,224,2850,10950,49,"9/25/2017",38774,"133-42-6E-A","JC03031","LION",0,3989,3913,3896,"11:54:14 PM"
285,10,24576,0,65535,65535,true,29.25,11799,1106,1114,2,39,27,765,1995,65535,65535,138,1995,12600,128,224,2850,10950,49,"9/25/2017",38774,"133-42-6E-A","JC03031","LION",0,3990,3912,3895,"11:54:16 PM"
285,10,24576,0,65535,65535,true,29.25,11801,1105,1113,2,39,27,766,1995,65535,65535,138,1995,12600,128,224,2850,10950,49,"9/25/2017",38774,"133-42-6E-A","JC03031","LION",0,3990,3913,3897,"11:54:18 PM"
285,10,24576,0,65535,65535,true,29.15,11800,1104,1112,2,39,27,767,1995,65535,65535,138,1995,12600,128,224,2850,10950,49,"9/25/2017",38774,"133-42-6E-A","JC03031","LION",0,3990,3913,3896,"11:54:20 PM"
285,10,24576,0,65535,65535,true,29.15,11799,1103,1111,2,39,27,767,1995,65535,65535,138,1995,12600,128,224,2850,10950,49,"9/25/2017",38774,"133-42-6E-A","JC03031","LION",0,3990,3913,3896,"11:54:22 PM"
285,10,24576,0,65535,65535,true,29.15,11799,1102,1109,2,39,27,768,1995,65535,65535,138,1995,12600,128,224,2850,10950,49,"9/25/2017",38774,"133-42-6E-A","JC03031","LION",0,3990,3912,3896,"11:54:24 PM"
285,10,24576,0,65535,65535,true,29.15,11801,1101,1108,2,39,27,768,1995,65535,65535,138,1995,12600,128,224,2850,10950,49,"9/25/2017",38774,"133-42-6E-A","JC03031","LION",0,3991,3913,3896,"11:54:26 PM"
285,10,24576,0,65535,65535,true,29.15,11801,1099,1107,2,39,27,769,1995,65535,65535,138,1995,12600,128,224,2850,10950,49,"9/25/2017",38774,"133-42-6E-A","JC03031","LION",0,3991,3913,3896,"11:54:28 PM"
285,10,24576,0,65535,65535,true,29.15,11801,1099,1106,2,39,28,770,1995,65535,65535,138,1995,12600,128,224,2850,10950,49,"9/25/2017",38774,"133-42-6E-A","JC03031","LION",0,3991,3913,3896,"11:54:30 PM"
285,10,24576,0,65535,65535,true,29.15,11801,1098,1105,2,39,28,770,1995,65535,65535,138,1995,12600,128,224,2850,10950,49,"9/25/2017",38774,"133-42-6E-A","JC03031","LION",0,3991,3913,3896,"11:54:32 PM"
285,10,24576,0,65535,65535,true,29.15,11801,1096,1104,2,39,28,771,1995,65535,65535,138,1995,12600,128,224,2850,10950,49,"9/25/2017",38774,"133-42-6E-A","JC03031","LION",0,3991,3913,3897,"11:54:34 PM"
285,10,24576,0,65535,65535,true,29.15,11800,1096,1103,2,39,28,771,1995,65535,65535,138,1995,12600,128,224,2850,10950,49,"9/25/2017",38774,"133-42-6E-A","JC03031","LION",0,3991,3914,3896,"11:54:36 PM"
