RemainingCapacityAlarm,RemainingTimeAlarm,BatteryMode,AtRate,AtRateTimeToFull,AtRateTimeToEmpty,AtRateOK,Temperature,Voltage,Current,AverageCurrent,MaxError,RelativeStateOfCharge,AbsoluteStateOfCharge,RemainingCapacity,FullChargeCapacity,RunTimeToEmpty,AverageTimeToEmpty,AverageTimeToFull,ChargingCurrent,ChargingVoltage,BatteryStatus,CycleCount,DesignCapacity,DesignVoltage,SpecificationInfo,ManufactureDate,SerialNumber,ManufacturerName,DeviceName,DeviceChemistry,VoltageCellFour,VoltageCellThree,VoltageCellTwo,VoltageCellOne,timestamp
285,10,24576,0,65535,65535,true,20.95,11758,1503,143,3,0,0,0,35,65535,65535,22,256,12600,144,418,2850,10950,49,"9/28/2017",35944,"133-42-6E-A","JC03031","LION",0,3434,4276,4048,"12:48:06 AM"
285,10,24576,0,65535,65535,true,20.95,12058,1813,357,3,0,0,0,35,65535,65535,12,1995,12600,16528,418,2850,10950,49,"9/28/2017",35944,"133-42-6E-A","JC03031","LION",0,3687,4303,4068,"12:48:08 AM"
285,10,24576,0,65535,65535,true,20.95,11990,1329,426,3,0,0,0,35,65535,65535,10,256,12600,144,418,2850,10950,49,"9/28/2017",35944,"133-42-6E-A","JC03031","LION",0,3650,4285,4055,"12:48:10 AM"
285,10,24576,0,65535,65535,true,21.05,12174,1805,602,3,0,0,0,35,65535,65535,7,1995,12600,16528,418,2850,10950,49,"9/28/2017",35944,"133-42-6E-A","JC03031","LION",0,3783,4313,4077,"12:48:12 AM"
285,10,24576,0,65535,65535,true,21.05,12096,1328,638,3,0,0,0,35,65535,65535,7,1995,12600,144,418,2850,10950,49,"9/28/2017",35944,"133-42-6E-A","JC03031","LION",0,3736,4296,4064,"12:48:14 AM"
285,10,24576,0,65535,65535,true,21.05,12207,1738,783,3,0,0,0,35,65535,65535,5,1995,12600,16528,418,2850,10950,49,"9/28/2017",35944,"133-42-6E-A","JC03031","LION",0,3819,4312,4076,"12:48:16 AM"
285,10,24576,0,65535,65535,true,21.15,12150,1307,792,3,0,0,0,35,65535,65535,5,1995,12600,144,418,2850,10950,49,"9/28/2017",35944,"133-42-6E-A","JC03031","LION",0,3784,4300,4066,"12:48:18 AM"
285,10,24576,0,65535,65535,true,21.15,12229,1675,911,3,0,0,0,35,65535,65535,4,1995,12600,16528,418,2850,10950,49,"9/28/2017",35944,"133-42-6E-A","JC03031","LION",0,3845,4311,4072,"12:48:20 AM"
285,10,24576,0,65535,65535,true,21.25,12177,1275,899,3,0,0,0,35,65535,65535,4,1995,12600,144,418,2850,10950,49,"9/28/2017",35944,"133-42-6E-A","JC03031","LION",0,3813,4299,4064,"12:48:22 AM"
285,10,24576,0,65535,65535,true,21.25,12243,1617,998,3,0,0,0,35,65535,65535,4,1995,12600,16528,418,2850,10950,49,"9/28/2017",35944,"133-42-6E-A","JC03031","LION",0,3864,4309,4069,"12:48:24 AM"
285,10,24576,0,65535,65535,true,21.35,12195,1237,971,3,0,0,0,35,65535,65535,4,1995,12600,144,418,2850,10950,49,"9/28/2017",35944,"133-42-6E-A","JC03031","LION",0,3836,4298,4062,"12:48:26 AM"
285,10,24576,0,65535,65535,true,21.45,12259,1566,1054,3,0,0,0,35,65535,65535,3,1995,12600,16528,418,2850,10950,49,"9/28/2017",35944,"133-42-6E-A","JC03031","LION",0,3884,4308,4066,"12:48:28 AM"
285,10,24576,0,65535,65535,true,21.45,12203,1197,1017,3,0,0,0,35,65535,65535,3,1995,12600,144,418,2850,10950,49,"9/28/2017",35944,"133-42-6E-A","JC03031","LION",0,3850,4295,4058,"12:48:30 AM"
285,10,24576,0,65535,65535,true,21.45,12258,1499,1085,3,0,0,0,35,65535,65535,3,1995,12600,16528,418,2850,10950,49,"9/28/2017",35944,"133-42-6E-A","JC03031","LION",0,3892,4304,4061,"12:48:32 AM"
285,10,24576,0,65535,65535,true,21.55,12223,1169,1040,3,0,0,0,35,65535,65535,3,1995,12600,144,418,2850,10950,49,"9/28/2017",35944,"133-42-6E-A","JC03031","LION",0,3871,4296,4056,"12:48:34 AM"
285,10,24576,0,65535,65535,true,21.55,12271,1453,1100,3,0,0,0,35,65535,65535,3,1995,12600,16528,418,2850,10950,49,"9/28/2017",35944,"133-42-6E-A","JC03031","LION",0,3909,4304,4058,"12:48:36 AM"
285,10,24576,0,65535,65535,true,21.55,12233,1133,1050,3,0,0,0,35,65535,65535,3,1995,12600,144,418,2850,10950,49,"9/28/2017",35944,"133-42-6E-A","JC03031","LION",0,3885,4294,4053,"12:48:38 AM"
285,10,24576,0,65535,65535,true,21.65,12287,1417,1103,3,0,0,0,35,65535,65535,3,1995,12600,16528,418,2850,10950,49,"9/28/2017",35944,"133-42-6E-A","JC03031","LION",0,3927,4304,4056,"12:48:40 AM"
285,10,24576,0,65535,65535,true,21.65,12248,1105,1051,3,0,0,0,35,65535,65535,3,1995,12600,144,418,2850,10950,49,"9/28/2017",35944,"133-42-6E-A","JC03031","LION",0,3903,4294,4051,"12:48:42 AM"
285,10,24576,0,65535,65535,true,21.65,12292,1280,1099,3,0,0,0,35,65535,65535,3,1995,12600,16528,418,2850,10950,49,"9/28/2017",35944,"133-42-6E-A","JC03031","LION",0,3938,4302,4053,"12:48:44 AM"
285,10,24576,0,65535,65535,true,21.65,11505,481,1068,3,0,0,0,35,65535,65535,3,1995,12600,144,418,2850,10950,49,"9/28/2017",35944,"133-42-6E-A","JC03031","LION",0,3453,4137,3915,"12:48:46 AM"
285,10,24576,0,65535,65535,true,21.65,11492,494,994,3,0,0,0,35,65535,65535,3,1995,12600,144,418,2850,10950,49,"9/28/2017",35944,"133-42-6E-A","JC03031","LION",0,3442,4134,3913,"12:48:48 AM"
285,10,24576,0,65535,65535,true,21.65,11480,489,930,3,0,0,0,35,65535,65535,3,1995,12600,144,418,2850,10950,49,"9/28/2017",35944,"133-42-6E-A","JC03031","LION",0,3434,4131,3911,"12:48:50 AM"
285,10,24576,0,65535,65535,true,21.75,11461,469,872,3,0,0,0,35,65535,65535,3,1995,12600,144,418,2850,10950,49,"9/28/2017",35944,"133-42-6E-A","JC03031","LION",0,3427,4127,3909,"12:48:52 AM"
285,10,24576,0,65535,65535,true,21.85,11472,480,821,3,0,0,0,35,65535,65535,3,1995,12600,144,418,2850,10950,49,"9/28/2017",35944,"133-42-6E-A","JC03031","LION",0,3434,4130,3911,"12:48:54 AM"
285,10,24576,0,65535,65535,true,21.85,11480,487,778,3,0,0,0,35,65535,65535,3,1995,12600,144,418,2850,10950,49,"9/28/2017",35944,"133-42-6E-A","JC03031","LION",0,3439,4130,3911,"12:48:56 AM"
285,10,24576,0,65535,65535,true,21.85,11486,488,740,3,0,0,0,35,65535,65535,4,1995,12600,144,418,2850,10950,49,"9/28/2017",35944,"133-42-6E-A","JC03031","LION",0,3444,4131,3911,"12:48:58 AM"
285,10,24576,0,65535,65535,true,21.85,11262,284,703,3,0,0,0,35,65535,65535,4,1995,12600,144,418,2850,10950,49,"9/28/2017",35944,"133-42-6E-A","JC03031","LION",0,3228,4059,3853,"12:49:00 AM"
285,10,24576,0,65535,65535,true,21.85,10972,-5,627,3,0,0,0,35,65535,65535,4,1995,12600,144,418,2850,10950,49,"9/28/2017",35944,"133-42-6E-A","JC03031","LION",0,3115,4024,3828,"12:49:02 AM"
285,10,24576,0,65535,65535,false,21.85,10947,-5,546,3,0,0,0,35,0,65535,5,1995,12600,144,418,2850,10950,49,"9/28/2017",35944,"133-42-6E-A","JC03031","LION",0,3099,4020,3825,"12:49:04 AM"
285,10,24576,0,65535,65535,true,21.85,11003,41,476,3,0,0,0,35,65535,65535,5,1995,12600,144,418,2850,10950,49,"9/28/2017",35944,"133-42-6E-A","JC03031","LION",0,3169,4044,3846,"12:49:06 AM"
285,10,24576,0,65535,65535,true,21.85,11083,146,429,3,0,0,0,35,65535,65535,6,1995,12600,144,418,2850,10950,49,"9/28/2017",35944,"133-42-6E-A","JC03031","LION",0,3185,4049,3848,"12:49:08 AM"
285,10,24576,0,65535,65535,true,21.85,11084,149,393,3,0,0,0,35,65535,65535,6,1995,12600,144,418,2850,10950,49,"9/28/2017",35944,"133-42-6E-A","JC03031","LION",0,3186,4048,3848,"12:49:10 AM"
285,10,24576,0,65535,65535,true,21.85,11084,151,362,3,0,0,0,35,65535,65535,7,1995,12600,144,418,2850,10950,49,"9/28/2017",35944,"133-42-6E-A","JC03031","LION",0,3186,4048,3849,"12:49:12 AM"
285,10,24576,0,65535,65535,true,21.85,11083,152,335,3,0,0,0,35,65535,65535,7,1995,12600,144,418,2850,10950,49,"9/28/2017",35944,"133-42-6E-A","JC03031","LION",0,3186,4048,3848,"12:49:14 AM"
285,10,24576,0,65535,65535,true,21.85,11081,152,311,3,0,0,0,35,65535,65535,7,1995,12600,144,418,2850,10950,49,"9/28/2017",35944,"133-42-6E-A","JC03031","LION",0,3186,4047,3848,"12:49:16 AM"
285,10,24576,0,65535,65535,true,21.85,11081,154,291,3,0,0,0,35,65535,65535,7,1995,12600,144,418,2850,10950,49,"9/28/2017",35944,"133-42-6E-A","JC03031","LION",0,3186,4047,3848,"12:49:18 AM"
285,10,24576,0,65535,65535,true,21.85,11080,154,274,3,0,0,0,35,65535,65535,8,1995,12600,144,418,2850,10950,49,"9/28/2017",35944,"133-42-6E-A","JC03031","LION",0,3186,4046,3847,"12:49:20 AM"
285,10,24576,0,65535,65535,true,21.85,11079,154,258,3,0,0,0,35,65535,65535,8,1995,12600,144,418,2850,10950,49,"9/28/2017",35944,"133-42-6E-A","JC03031","LION",0,3186,4046,3847,"12:49:22 AM"
285,10,24576,0,65535,65535,true,21.95,11079,155,245,3,0,0,0,35,65535,65535,8,1995,12600,144,418,2850,10950,49,"9/28/2017",35944,"133-42-6E-A","JC03031","LION",0,3187,4046,3847,"12:49:24 AM"
285,10,24576,0,65535,65535,true,21.85,11079,156,233,3,0,0,0,35,65535,65535,8,1995,12600,144,418,2850,10950,49,"9/28/2017",35944,"133-42-6E-A","JC03031","LION",0,3187,4045,3846,"12:49:26 AM"
